name;address;sector
Kimia Farma Cendrawasih;Jalan Cendrawasih 23313650 Jakarta Timur  - Makasar;Medical Laboratories
Apotek Kimia Farma Pondok Kopi 2;Jalan Pondok Kopi 5413460 Jakarta;Medical Laboratories
Kimia Farma;Jalan Haji Mistar Cokrokusumo 370714 Kota Banjarbaru;Chemists
Apotek Kimia Farma;Jalan DI Panjaitan 276125 Balikpapan;Chemists
Apotek Kimia Farma;Jalan Simo 4457432 Klaten  - Kabupaten;Chemists
Apotek Kimia Farma;Jalan Ahmad Yani Timur 3070714 Kota Banjarbaru;Chemists
Anugerah Pharmindo Lestari;Jalan Arteri Supadio 5578391 Kota Pontianak;Chemists
Apotek Kimia Farma;Jalan Imam Bonjol 6684261 Dompu  - Bali;Chemists
Adhira Medika Persada Internasional;Ruko Paramount Spark 15810 Kota Tangerang;Chemists
Catur Dakwah Crane Farmasi;Jalan Olympic Raya 16810 Klaten  - Kabupaten;Chemists
Ottobock Healthcare Indonesia;Jl. Taman Tekno F1/FG 115314 Klaten  - Kabupaten;Chemists
Marhilas Utama Laboratorium;Jalan Rose Garden 3317422 Kota Bekasi;Chemists
Nidec Sankyo Opto Indonesia;Jalan Raya Sukabumi 216720 Klaten  - Kabupaten;Chemists
Procter & Gamble Operations Indonesia;Jalan Harapan 2 41361 Jakarta;Chemists
Arkan Medica;Jalan Solo - Purwodadi 2057274 Surakarta;Chemists
Laboratorium Prodia;Jalan Merdeka 3721143 Pematangsiantar;Chemists
Natbio Marketing Indonesia;Ruko Gardenia Shopping Arcade 11470 Jakarta;Chemists
Apotek Johar Medika;Jl. Ahmad Yani 3368137 Klaten  - Kabupaten;Chemists
Ion Exchange Asia Pacific;Jababeka 417530 Kota Bekasi;Chemists
Kalbe Farma;Jl Panembahan Senopati 56123 Kota Magelang;Chemists
Apotek Kimia Farma;Jl. Dr. Wahidin Selatan 5967173 Klaten  - Kabupaten;Chemists
Apotek Royal;Jl. Monjali 5744481 Klaten  - Kabupaten;Chemists
Medisafe Technologies;Pasar Ix 20362 Kabupaten Deli Serdang;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Attamana;Jalan Raya Pedan 1057468 Klaten  - Kabupaten;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Fokus Diagnostic Indonesia;Jalan Jatipadang Poncol 912540 Jakarta;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Midex Dharma Agung;Jalan Sunan Drajat 4213220 Jakarta;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Pramita;Jalan Doktor Cipto Mangunkusumo 9545132 Kota Cirebon;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
China Petroleum Technology And Development Corporation;Menara Rajawali 12950 Jakarta;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Kimia Farma;Jalan Buah Dua 25940291 Klaten  - Kabupaten;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Mitra Megah Mandiri;Kompleks Pergudangan Indoserena 961256 Klaten  - Kabupaten;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Apotek Kimia Farma Grand Galaxi City;Jalan Pulo Sirih Barat 17147 Ruko Grand Galaxi City Blok Rgf No. 11;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Lab Klinik Pramita;Jalan Jenderal Ahmad Yani 3939112 Kota Padang;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Apotek Kimia Farma173;Jalan Ngurah Rai By Pass 23280361 Dompu  - Bali;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
China National Petroleum Corp;Menara Rajawali 12950 Jakarta;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
Tritunggal Sentra Utama;Jalan Taman Air Nasution 560271 Kota Surabaya;Sales, Rental And Repair Of Surgical Medical Instruments And Equipment
